id,title,category,start_local,end_local,predicted_end_local,phq_attendance,rank,local_rank,state,start,end,predicted_end,description,predicted_event_spend_total,predicted_event_spend_accommodation,predicted_event_spend_hospitality,predicted_event_spend_transportation,venue_id,venue_name,locality,region,postcode,country,venue_formatted_address,lat,lon,labels,phq_labels,timezone,duration,geo,placekey,impact_patterns,duplicate_of_id,parent_event_id,cancelled,postponed,deleted_reason,scope,place_hierarchies,relevance,private,brand_safe,first_seen,updated
FVK83igdYSUxEdNFcU,APEC Conference,conferences,2025-03-09 09:00:00,2025-03-13 18:00:00,,409,42,58,active,2025-03-09T13:00:00Z,2025-03-13T22:00:00Z,,Sourced from predicthq.com,122514,37441,61693,23380,yHWNcVLgURWsTTzGfe5KMi,AmericasMart Atlanta,Atlanta,Georgia,30303,US,"230 John Portman Blvd NW, Atlanta, GA 30303, USA",33.7603111,-84.3901367,conference,"science-and-technology,manufacturing-and-petroleum-products,design-and-furnishing",America/New_York,378000,"{""geometry"": {""coordinates"": [-84.3901367, 33.7603111], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""230 John Portman Blvd NW, Atlanta, GA 30303, USA"", ""postcode"": ""30303"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",1atr3t75sq@8g7-47b-k75,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-07"", ""value"": 62, ""position"": ""leading""}, {""date_local"": ""2025-03-08"", ""value"": 164, ""position"": ""leading""}, {""date_local"": ""2025-03-09"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-14"", ""value"": 82, ""position"": ""lagging""}, {""date_local"": ""2025-03-15"", ""value"": 21, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-07"", ""value"": 21, ""position"": ""leading""}, {""date_local"": ""2025-03-08"", ""value"": 164, ""position"": ""leading""}, {""date_local"": ""2025-03-09"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-14"", ""value"": 54, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-09"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 409, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 409, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4191014>4180439,6295630>6255149>6252001>4197000>4196508>4180439",,False,True,2021-05-14T07:31:17Z,2025-01-23T22:56:54Z
8uKSABUBd8c3fMU6Z6,Academy Annual Meeting and Scientific Symposium,conferences,2025-02-26 09:00:00,2025-03-01 18:00:00,,449,43,58,active,2025-02-26T14:00:00Z,2025-03-01T23:00:00Z,,Sourced from predicthq.com,108967,34252,54181,20533,ES9jSB2EZrgSBjDPCCPH5i,Hyatt Regency Atlanta,Atlanta,Georgia,30303,US,"265 Peachtree Rd NE, Atlanta, GA 30303, USA",33.7616814,-84.3870934,conference,education-and-careers,America/New_York,291600,"{""geometry"": {""coordinates"": [-84.3870934, 33.7616814], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""265 Peachtree Rd NE, Atlanta, GA 30303, USA"", ""postcode"": ""30303"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",zzw-224@8g7-47b-gp9,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-24"", ""value"": 68, ""position"": ""leading""}, {""date_local"": ""2025-02-25"", ""value"": 180, ""position"": ""leading""}, {""date_local"": ""2025-02-26"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-03-02"", ""value"": 90, ""position"": ""lagging""}, {""date_local"": ""2025-03-03"", ""value"": 23, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-24"", ""value"": 23, ""position"": ""leading""}, {""date_local"": ""2025-02-25"", ""value"": 180, ""position"": ""leading""}, {""date_local"": ""2025-02-26"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-03-02"", ""value"": 59, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-26"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 449, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 449, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2022-03-27T03:13:17Z,2025-01-24T04:36:21Z
B5KaSmTjHTihiRruMq,Council of Academic Programs in Communication Sciences and Disorders Annual Conference,conferences,2025-04-23 09:00:00,2025-04-26 18:00:00,,403,42,57,active,2025-04-23T13:00:00Z,2025-04-26T22:00:00Z,,Sourced from predicthq.com,97803,30743,48630,18429,3XWmg5KgMks8bNsAnJYeaK,Atlanta Marriott Marquis,Atlanta,Georgia,30303,US,"265 Peachtree Center Ave NE, Atlanta, GA 30303, USA",33.7615847,-84.3856145,conference,"education-and-careers,science-and-technology,medical",America/New_York,291600,"{""geometry"": {""coordinates"": [-84.3856145, 33.7615847], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""265 Peachtree Center Ave NE, Atlanta, GA 30303, USA"", ""postcode"": ""30303"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",zzw-224@8g7-47b-mhq,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-21"", ""value"": 61, ""position"": ""leading""}, {""date_local"": ""2025-04-22"", ""value"": 162, ""position"": ""leading""}, {""date_local"": ""2025-04-23"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-24"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-25"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-26"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-27"", ""value"": 81, ""position"": ""lagging""}, {""date_local"": ""2025-04-28"", ""value"": 21, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-21"", ""value"": 21, ""position"": ""leading""}, {""date_local"": ""2025-04-22"", ""value"": 162, ""position"": ""leading""}, {""date_local"": ""2025-04-23"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-24"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-25"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-26"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-27"", ""value"": 53, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-23"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-24"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-25"", ""value"": 403, ""position"": ""event_day""}, {""date_local"": ""2025-04-26"", ""value"": 403, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4222390,6295630>6255149>6252001>4197000>4191014>4180439,6295630>6255149>6252001>4197000>4196508>4180439",,False,True,2022-04-24T03:01:12Z,2025-01-24T01:55:29Z
9tDDogk2cRgA42wrUt,The NAFEM Show,expos,2025-02-26 00:00:00,2025-02-28 23:59:59,,22000,77,95,active,2025-02-26T05:00:00Z,2025-03-01T04:59:59Z,,Sourced from predicthq.com - North American Association of Food Equipment Manufacturers Show,2326262,1211517,774308,340435,,,Atlanta,Georgia,30313,US,"Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America",33.7603931,-84.4023632,"business,expo","science-and-technology,hospitality-and-travel,consumer-goods,design-and-furnishing",America/New_York,259199,"{""geometry"": {""coordinates"": [-84.4023632, 33.7603931], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America"", ""locality"": ""Atlanta"", ""postcode"": ""30313"", ""region"": ""Georgia""}}",zzw-222@8g7-477-789,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-24"", ""value"": 344, ""position"": ""leading""}, {""date_local"": ""2025-02-25"", ""value"": 1719, ""position"": ""leading""}, {""date_local"": ""2025-02-26"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 8250, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 825, ""position"": ""lagging""}, {""date_local"": ""2025-03-02"", ""value"": 413, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-24"", ""value"": 344, ""position"": ""leading""}, {""date_local"": ""2025-02-25"", ""value"": 1375, ""position"": ""leading""}, {""date_local"": ""2025-02-26"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 8250, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 1238, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-02-24"", ""value"": 1032, ""position"": ""leading""}, {""date_local"": ""2025-02-25"", ""value"": 2200, ""position"": ""leading""}, {""date_local"": ""2025-02-26"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-27"", ""value"": 6875, ""position"": ""event_day""}, {""date_local"": ""2025-02-28"", ""value"": 8250, ""position"": ""event_day""}, {""date_local"": ""2025-03-01"", ""value"": 2640, ""position"": ""lagging""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2022-07-03T05:19:12Z,2025-01-30T04:25:59Z
Hf9NxEpKPdZmnA5fnL,2025 KIDFITSTRONG FITNESS CHALLENGE ATLANTA PRESENTED BY KIDFITSTRONG USA,festivals,2025-04-26 12:00:00,2025-04-26 18:00:00,,336,41,59,active,2025-04-26T16:00:00Z,2025-04-26T22:00:00Z,,Sourced from predicthq.com - KEEPING KIDS ACTIVE AND HEALTHY!,9346,1281,4223,3841,,,Atlanta,Georgia,30309,US,"Park Drive Northeast, Atlanta, GA 30309, United States of America",33.7850856,-84.37380300000001,"festival,health",nature-and-outdoor-activities,America/New_York,21600,"{""geometry"": {""coordinates"": [-84.37380300000001, 33.7850856], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""Park Drive Northeast, Atlanta, GA 30309, United States of America"", ""locality"": ""Atlanta"", ""postcode"": ""30309"", ""region"": ""Georgia""}}",13vtajfdis@8g7-473-t7q,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-26"", ""value"": 336, ""position"": ""event_day""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-26"", ""value"": 336, ""position"": ""event_day""}, {""date_local"": ""2025-04-27"", ""value"": 41, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-26"", ""value"": 336, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4200636,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2022-11-02T13:43:41Z,2024-11-04T17:04:14Z
6jiQ4V4gYEasmkuQ9i,ASTA National Conference,conferences,2025-03-19 09:00:00,2025-03-22 18:00:00,,500,44,59,active,2025-03-19T13:00:00Z,2025-03-22T22:00:00Z,,Sourced from predicthq.com,121344,38143,60335,22865,ES9jSB2EZrgSBjDPCCPH5i,Hyatt Regency Atlanta,Atlanta,Georgia,30303,US,"265 Peachtree Rd NE, Atlanta, GA 30303, USA",33.7616814,-84.3870934,conference,"festivals-and-outdoor-activities,lifestyle,education-and-careers",America/New_York,291600,"{""geometry"": {""coordinates"": [-84.3870934, 33.7616814], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""265 Peachtree Rd NE, Atlanta, GA 30303, USA"", ""postcode"": ""30303"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",zzw-224@8g7-47b-gp9,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-17"", ""value"": 75, ""position"": ""leading""}, {""date_local"": ""2025-03-18"", ""value"": 200, ""position"": ""leading""}, {""date_local"": ""2025-03-19"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-20"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-22"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-23"", ""value"": 100, ""position"": ""lagging""}, {""date_local"": ""2025-03-24"", ""value"": 25, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-17"", ""value"": 25, ""position"": ""leading""}, {""date_local"": ""2025-03-18"", ""value"": 200, ""position"": ""leading""}, {""date_local"": ""2025-03-19"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-20"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-22"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-23"", ""value"": 65, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-19"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-20"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 500, ""position"": ""event_day""}, {""date_local"": ""2025-03-22"", ""value"": 500, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2022-11-06T03:21:38Z,2025-01-27T20:08:11Z
5M2PMUQkuU7BsGeTFM,Bryce Vine,concerts,2025-02-28 19:00:00,2025-02-28 19:00:00,2025-02-28 23:10:00,852,49,68,deleted,2025-03-01T00:00:00Z,2025-03-01T00:00:00Z,2025-03-01T04:10:00Z,Sourced from predicthq.com,26137,5687,10709,9740,MZit5hC5ffVcEYZWSfsZZP,The Masquerade - Heaven,Atlanta,Georgia,30303,US,"50 Lower Alabama Street 22
Atlanta, GA 30303
United States of America",33.7517791,-84.3896373,"concert,music","pop,rock,hip-hop-and-rnb-and-soul",America/New_York,0,"{""geometry"": {""coordinates"": [-84.3896373, 33.7517791], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""50 Lower Alabama Street 22\nAtlanta, GA 30303\nUnited States of America"", ""postcode"": ""30303"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",22g-222@8g7-46m-btv,,,,2024-11-20T01:26:35Z,,cancelled,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2023-01-01T01:26:09Z,2025-01-31T18:19:59Z
DJPHp9zB2K3kbcEXe4,AFS CASTEXPO,expos,2025-04-12 00:00:00,2025-04-15 23:59:59,,10000,70,88,active,2025-04-12T04:00:00Z,2025-04-16T03:59:59Z,,Sourced from predicthq.com - American Foundrymen's Society Exhibition,1040692,533990,351958,154743,,,Atlanta,Georgia,30313,US,"Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America",33.7603931,-84.4023632,"expo,industrial,technology","science-and-technology,mining-drilling-and-metalwork",America/New_York,345599,"{""geometry"": {""coordinates"": [-84.4023632, 33.7603931], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America"", ""locality"": ""Atlanta"", ""postcode"": ""30313"", ""region"": ""Georgia""}}",zzw-222@8g7-477-789,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-10"", ""value"": 137, ""position"": ""leading""}, {""date_local"": ""2025-04-11"", ""value"": 410, ""position"": ""leading""}, {""date_local"": ""2025-04-12"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-13"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-14"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-15"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-16"", ""value"": 228, ""position"": ""lagging""}, {""date_local"": ""2025-04-17"", ""value"": 114, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-11"", ""value"": 410, ""position"": ""leading""}, {""date_local"": ""2025-04-12"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-13"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-14"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-15"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-16"", ""value"": 228, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-04-10"", ""value"": 410, ""position"": ""leading""}, {""date_local"": ""2025-04-11"", ""value"": 873, ""position"": ""leading""}, {""date_local"": ""2025-04-12"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-13"", ""value"": 2727, ""position"": ""event_day""}, {""date_local"": ""2025-04-14"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-15"", ""value"": 2273, ""position"": ""event_day""}, {""date_local"": ""2025-04-16"", ""value"": 728, ""position"": ""lagging""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2023-01-28T22:07:06Z,2025-01-28T00:41:18Z
HULsug9tGvERpXPMB7,ASHE's PDC Summit,conferences,2025-03-09 09:00:00,2025-03-12 18:00:00,,3500,61,79,active,2025-03-09T13:00:00Z,2025-03-12T22:00:00Z,,Sourced from predicthq.com,1443636,734252,492742,216641,FBV7E3rLnLz5rdciV5N5ip,Georgia World Congress Center,Atlanta,Georgia,30313,US,"285 Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America",33.7590058,-84.39873869999997,conference,,America/New_York,291600,"{""geometry"": {""coordinates"": [-84.39873869999997, 33.7590058], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""285 Andrew Young International Boulevard Northwest, Atlanta, GA 30313, United States of America"", ""postcode"": ""30313"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",zzw-222@8g7-477-789,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-06"", ""value"": 525, ""position"": ""leading""}, {""date_local"": ""2025-03-07"", ""value"": 525, ""position"": ""leading""}, {""date_local"": ""2025-03-08"", ""value"": 3150, ""position"": ""leading""}, {""date_local"": ""2025-03-09"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 1225, ""position"": ""lagging""}, {""date_local"": ""2025-03-14"", ""value"": 175, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-06"", ""value"": 595, ""position"": ""leading""}, {""date_local"": ""2025-03-07"", ""value"": 1505, ""position"": ""leading""}, {""date_local"": ""2025-03-08"", ""value"": 1505, ""position"": ""leading""}, {""date_local"": ""2025-03-09"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 525, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-05"", ""value"": 246, ""position"": ""leading""}, {""date_local"": ""2025-03-06"", ""value"": 246, ""position"": ""leading""}, {""date_local"": ""2025-03-07"", ""value"": 1050, ""position"": ""leading""}, {""date_local"": ""2025-03-08"", ""value"": 1820, ""position"": ""leading""}, {""date_local"": ""2025-03-09"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-10"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-11"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-12"", ""value"": 3500, ""position"": ""event_day""}, {""date_local"": ""2025-03-13"", ""value"": 630, ""position"": ""lagging""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4195207,6295630>6255149>6252001>4197000>4191014>4180439,6295630>6255149>6252001>4197000>4196508>4180439",,False,True,2023-03-19T10:08:42Z,2024-11-01T00:33:51Z
5uBzssDYgprYgKgSGP,Annual Eucharistic Congress,conferences,2025-03-20 00:00:00,2025-03-21 23:59:59,,451,43,69,active,2025-03-20T04:00:00Z,2025-03-22T03:59:59Z,,"Sourced from predicthq.com - The Annual Eucharistic Congress is a conference event that gathers thousands of Catholics from around the United States to celebrate and deepen their understanding of the Eucharist through prayer, worship, and inspiring talks by renowned theologians and spiritual leaders. Participants engage in a vibrant and enriching experience, fostering spiritual growth and fostering a sense of unity within the Catholic community.",58166,20643,27211,10312,y9U3C33U2kV9J3eEpShV6X,Atlanta Airport Marriott Gateway,Atlanta,Georgia,30337,US,"2020 Convention Center Concourse, Atlanta, GA 30337, USA",33.6441385,-84.4557858,conference,religion-and-spirituality,America/New_York,172799,"{""geometry"": {""coordinates"": [-84.4557858, 33.6441385], ""type"": ""Point""}, ""address"": {""country_code"": ""US"", ""formatted_address"": ""2020 Convention Center Concourse, Atlanta, GA 30337, USA"", ""postcode"": ""30337"", ""locality"": ""Atlanta"", ""region"": ""Georgia""}}",1joy3cqpva@8g7-4pq-m49,"[{""vertical"": ""accommodation"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-18"", ""value"": 68, ""position"": ""leading""}, {""date_local"": ""2025-03-19"", ""value"": 181, ""position"": ""leading""}, {""date_local"": ""2025-03-20"", ""value"": 451, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 451, ""position"": ""event_day""}, {""date_local"": ""2025-03-22"", ""value"": 91, ""position"": ""lagging""}, {""date_local"": ""2025-03-23"", ""value"": 23, ""position"": ""lagging""}]}, {""vertical"": ""hospitality"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-18"", ""value"": 23, ""position"": ""leading""}, {""date_local"": ""2025-03-19"", ""value"": 181, ""position"": ""leading""}, {""date_local"": ""2025-03-20"", ""value"": 451, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 451, ""position"": ""event_day""}, {""date_local"": ""2025-03-22"", ""value"": 59, ""position"": ""lagging""}]}, {""vertical"": ""retail"", ""impact_type"": ""phq_attendance"", ""impacts"": [{""date_local"": ""2025-03-20"", ""value"": 451, ""position"": ""event_day""}, {""date_local"": ""2025-03-21"", ""value"": 451, ""position"": ""event_day""}]}]",,,,,,locality,"6295630>6255149>6252001>4197000>4196508>4188815,6295630>6255149>6252001>4197000>4188291>4188815,6295630>6255149>6252001>4197000>4196508>4180439,6295630>6255149>6252001>4197000>4191014>4180439",,False,True,2023-04-13T23:32:03Z,2025-01-21T15:03:49Z
